latitude_dd,longitude_dd,state,county,waterbody,peak_date,peak_stage,height_above_gnd
28.70659,-96.23411,TX,Matagorda County,Gulf Mexico,8/26/2017 5:00:00 PM,4.24,0
28.70161,-96.22517,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,5.64,0
28.71411,-96.21022,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.05,0
28.721,-96.20337,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.03,0
28.72934,-96.20544,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,10,0
28.76322,-96.19306,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,7.4,0
28.72439,-96.18814,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,7.11,0
28.7506,-96.15023,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.71,0.1
28.7612,-96.14678,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,4.86,0
28.77411,-96.14819,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,6.99,0
28.78831,-96.15261,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,8.03,0
28.83402,-96.13609,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.98,0
28.82857,-96.14295,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,24.19,0
28.86208,-96.15566,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,13.88,5.7
28.86419,-96.16317,TX,Matagorda County,Gulf of Mexico,8/26/2017 5:00:00 PM,16.75,0
27.78449,-97.10062,TX,Nueces County,Gulf of Mexico,8/26/2017 5:00:00 PM,9.78,4.25
29.35253,-95.51714,TX,Brazoria County,Oyster Creek,9/2/2017 5:00:00 PM,48.2,1.97
29.46383,-95.47832,TX,Fort Bend County,oyster creek,9/2/2017 5:00:00 PM,55.18,1.3
29.451847,-95.511167,TX,Fort Bend County,oyster creek,9/2/2017 5:00:00 PM,54.85,2.69
