lat,lon,elev_meters
29.8085,-95.1639,10.1
29.6656,-95.1558,8.88
29.883000000000006,-95.1984,14.32
29.883000000000006,-95.1984,14.32
29.6498,-95.1562,9.61
29.8085,-95.1639,10.1
29.9396,-95.3034,21.48
29.9392,-95.3313,16.86
29.9392,-95.3313,16.86
29.9397,-95.296,18.34
29.9387,-95.3812,18.62
29.9387,-95.3812,18.62
29.9387,-95.3812,18.62
29.9387,-95.3812,18.62
29.9387,-95.3812,18.62
29.9391,-95.3972,25.75
29.9405,-95.4138,23.53
29.9391,-95.3972,25.75
29.9387,-95.3812,18.62
29.9387,-95.3812,18.62
29.9387,-95.3812,18.62
29.9387,-95.3812,18.62
29.9396,-95.4246,26.81
29.598883,-95.353293,16.02
29.598883,-95.353293,16.02
29.600908,-95.228645,10.98
29.605712,-95.477028,18.66
29.605712,-95.477028,18.66
29.605712,-95.477028,18.66
29.6261,-95.5181,15.5
29.737,-95.5575,22.51
29.6535,-95.5505,21.77
29.6204,-95.5085,20.52
29.832,-95.5637,29.93
29.8673,-95.5637,31.66
29.832,-95.5637,29.93
29.7477,-95.5577,22.43
29.8503,-95.5637,30.84
30.08416,-96.03971,67.2
29.591007,-95.564169,21.35
29.591007,-95.564169,21.35
29.699102000000003,-95.79223,35.72
29.703190000000006,-95.7429,30.18
29.5005,-95.34189,17.01
29.5005,-95.34189,17.01
29.83552,-96.03345,39.98
29.80901,-96.09582,32.39
29.07855,-95.6892,9.34
29.07855,-95.6892,9.34
29.09771,-95.68999,9.72
29.313995,-95.716061,18.48
29.313995,-95.716061,18.48
29.298226,-95.733578,21.34
29.727921,-95.846282,41.73
29.662862,-95.686577,27.55
29.662862,-95.686577,27.55
30.17543,-95.87293,84.2
30.22439791,-95.54742799,59.92
30.10974,-96.03252,64.0
29.40271,-95.03284,10.58
29.95015,-96.03907,53.75
30.05354,-96.08144,62.58
30.05354,-96.08144,62.58
30.014257,-95.4506,34.48
30.022922,-95.089959,21.46
30.232540000000004,-95.16471,31.03
29.87421,-95.89059,54.69
29.87421,-95.89059,54.69
29.78602,-95.88961,48.02
29.78602,-95.88961,48.02
29.489656,-96.026127,35.21
30.086976,-95.65319,53.79
30.089319,-95.645204,53.83
30.06823,-95.781016,67.28
30.06823,-95.781016,67.28
29.45206,-95.790548,23.33
29.475505,-95.76467,23.42
30.18632,-95.9321,85.62
29.46072726,-95.05178991,3.72
29.533125,-95.024913,3.73
29.533125,-95.024913,3.73
29.43889,-95.47662,18.28
29.35401,-95.46232,15.56
29.07855,-95.6892,9.34
29.9122,-96.07184,51.59
29.91527,-96.11339,33.13
29.87412,-95.95993,57.52
29.87425,-95.89059,54.69
29.965366,-95.380081,25.49
29.828891,-95.354715,13.99
29.965366,-95.380081,25.49
29.828891,-95.354715,13.99
29.965366,-95.380081,25.49
29.938813,-95.381319,18.48
29.938813,-95.381319,18.48
29.870716,-95.364874,22.56
29.870716,-95.364874,22.56
29.938813,-95.381319,18.48
29.902209000000006,-95.372782,22.94
29.996,-95.396977,30.3
30.026642,-95.40443,23.17
29.996,-95.396977,30.3
29.996,-95.396977,30.3
30.022584,-95.404613,28.44
30.026642,-95.40443,23.17
30.105703,-95.435041,41.25
30.087770000000006,-95.412876,32.55
30.026642,-95.40443,23.17
29.779003000000003,-95.951424,53.99
29.777419,-95.83237,40.43
29.779003000000003,-95.951424,53.99
29.77753,-95.819688,42.99
29.7644,-96.1527,52.76
29.7644,-96.1527,52.76
29.77735,-95.88115,47.18
29.77735,-95.88115,47.18
29.821601,-94.899159,8.8
29.782057,-95.984576,34.22
29.779003000000003,-95.951424,53.99
29.779003000000003,-95.951424,53.99
29.7712,-96.036,27.69
29.771227000000003,-96.035924,27.69
29.79234172,-95.07967835,1.12
29.79234172,-95.07967835,1.12
29.7707,-95.2137,6.85
29.7707,-95.2137,6.85
29.7707,-95.2137,6.85
29.7713,-95.1534,4.33
29.79234172,-95.07967835,1.12
29.77143124,-95.19704627,-0.12
29.7781,-95.284,12.03
29.79234172,-95.07967835,1.12
29.7771,-95.2719,9.36
29.7743,-95.3152,7.76
29.7743,-95.3152,7.76
29.7743,-95.3152,7.76
29.770047,-95.343522,12.44
29.770047,-95.343522,12.44
29.7852,-95.1066,2.54
29.7708,-95.1865,5.43
29.7738,-95.2474,8.58
29.7911,-95.0573,4.32
29.808000000000003,-94.9653,10.53
29.808000000000003,-94.9653,10.53
29.77143124,-95.19704627,-0.12
29.78419,-95.5439,25.23
29.78426,-95.5629,20.27
29.7776,-95.3811,9.86
29.7805,-95.4539,15.22
29.7839,-95.4681,19.28
29.78426,-95.5629,20.27
29.7773,-95.418,11.5
29.7773,-95.418,11.5
29.7771,-95.4062,11.54
29.7771,-95.4062,11.54
29.78452,-95.68834,31.71
29.78494,-95.69556,34.84
29.78546,-95.77682,40.64
29.784561,-95.617545,23.19
29.784561,-95.617545,23.19
29.78467,-95.64467,26.86
30.2073,-95.456,39.76
30.3252,-95.4752,62.33
29.32891,-94.93096,1.52
30.421,-95.4919,108.65
30.2073,-95.456,39.76
30.2073,-95.456,39.76
30.308000000000003,-95.4695,54.48
29.5031,-95.114,4.7
29.4302,-95.0599,6.16
29.4302,-95.0599,6.16
29.441,-95.0703,4.42
29.441,-95.0703,4.42
29.466,-95.0906,5.5
29.466,-95.0906,5.5
30.1675,-95.4508,43.68
29.3784,-95.0076,5.45
29.5031,-95.114,4.7
29.6975,-95.2886,11.94
29.74454,-95.36246,8.14
29.749740000000006,-95.3719,13.67
29.72223,-95.32756,5.65
29.75771,-95.37486,9.82
29.599,-95.1976,10.34
29.599,-95.1976,10.34
29.6691,-95.2622,9.92
29.641,-95.2432,11.18
29.5867,-95.1843,9.82
29.5867,-95.1843,9.82
29.5536,-95.154,10.14
29.5696,-95.1688,10.3
29.5696,-95.1688,10.3
29.5536,-95.154,10.14
29.75771,-95.37486,9.82
29.78995188,-95.37180814,9.92
29.78995188,-95.37180814,9.92
29.99780858,-95.42550385,32.74
29.84572,-95.39297,20.12
29.78995188,-95.37180814,9.92
29.83318,-95.38438,18.25
29.84572,-95.39297,20.12
29.87,-95.4079,24.72
29.84572,-95.39297,20.12
29.78995188,-95.37180814,9.92
29.89821,-95.41209,23.14
29.99780858,-95.42550385,32.74
29.99780858,-95.42550385,32.74
29.89821,-95.41209,23.14
29.87642246,-95.41138178,25.02
29.87642246,-95.41138178,25.02
29.9407,-95.4141,23.72
30.05253285,-95.43180167,33.97
30.05253285,-95.43180167,33.97
29.91512,-95.41241,25.09
29.91512,-95.41241,25.09
29.76380069,-95.36929675,5.37
29.7757,-95.2641,5.24
